,Date,precip_and_snowmelt_input_Colorado Headwaters_mean,irrigation_Colorado Headwaters_mean,AET_Colorado Headwaters_mean,soil_thickness_Colorado Headwaters_mean,soil_porosity_Colorado Headwaters_mean,field_capacity_Colorado Headwaters_mean,wilting_point_Colorado Headwaters_mean,Geo_K_Colorado Headwaters_mean,Runoff_Colorado Headwaters_mean,Recharge_Colorado Headwaters_mean,Soil_Water_End_Of_Previous_Timestep_Colorado Headwaters_mean,Soil_Saturation_Percent_End_Of_Timestep_Colorado Headwaters_mean,precip_and_snowmelt_input_m3_Colorado Headwaters_sum,irrigation_m3_Colorado Headwaters_sum,AET_m3_Colorado Headwaters_sum,Runoff_m3_Colorado Headwaters_sum,Recharge_m3_Colorado Headwaters_sum,Soil_Water_End_Of_Previous_Timestep_m3_Colorado Headwaters_sum,Colorado Headwaters_area_m2
0,2005-01-01,60.77511785300406,0.0,3.3620053949657622,220.13474142471804,0.46720127770473396,46.23740059099719,24.87673413807841,9496.549620832091,21.24087712585083,28.66889065404783,53.39432010208945,73.22494471395525,14933192.702834774,0.0,826090.9290428921,5219150.725263718,7044284.758587613,13119659.872505376,233699732.82400423
1,2005-02-01,41.734879874416485,0.0,2.484381733731306,220.13474142471804,0.46720127770473396,46.23740059099719,24.87673413807841,9496.549620832091,14.414841779565371,23.451775139806347,54.77820132340292,74.0052796828351,10254770.194800543,0.0,610447.4768683824,3541896.6693353904,5762387.005049104,13459698.91605304,233699732.82400423
2,2005-03-01,35.39640440337927,0.0,4.709597612169,220.13474142471804,0.46720127770473396,46.23740059099719,24.87673413807841,9496.549620832091,7.789485393182971,21.99443475389641,55.751575262687545,73.22091699632342,8697320.810385486,0.0,1157212.7606470592,1913967.8203702858,5404290.284517458,13698868.64414572,233699732.82400423
3,2005-04-01,27.828632631116484,9.209219560689994e-06,8.078386617931077,220.13474142471804,0.46720127770473396,46.23740059099719,24.87673413807841,9496.549620832091,4.546835255341675,18.071410184156385,53.12976703915271,68.91296073481024,6837856.875471462,2.2629173015192263,1984971.1531220588,1117220.8641437886,4440371.570303106,13054654.794827722,233699732.82400423
4,2005-05-01,10.776971664941733,2.3943973236233467e-05,16.998116550414203,220.13474142471804,0.46720127770473396,46.23740059099719,24.87673413807841,9496.549620832091,0.10415520686784477,11.487113124194996,40.890532870770805,51.254887444342955,2648027.799700885,5.8835855683873355,4176673.180436765,25591.707375630747,2822510.9527398,10047308.714841317,233699732.82400423
5,2005-06-01,51.07706107047788,3.6836878242759974e-05,28.234601203492357,220.13474142471804,0.46720127770473396,46.23740059099719,24.87673413807841,9496.549620832091,11.3425160085315,22.770869522681544,40.72057841793453,59.23777420727006,12550288.872214038,9.051669206076905,6937616.90977598,2787005.0427657245,5595093.748420195,10005542.10601024,233699732.82400423
6,2005-07-01,30.584318734946137,4.788794647246693e-05,26.679526264544858,220.13474142471804,0.46720127770473396,46.23740059099719,24.87673413807841,9496.549620832091,7.536373479880689,16.41939804663655,38.81598743154975,55.539468178759435,7514983.069683782,11.767171136774671,6555510.849305638,1851795.5057605666,4034463.7480270606,9537559.364859361,233699732.82400423
7,2005-08-01,39.51264678483195,3.867872393872759e-05,23.27123270179248,220.13474142471804,0.46720127770473396,46.23740059099719,24.87673413807841,9496.549620832091,8.51020896275847,20.095875413749155,40.17894168175289,59.89984776488034,9708750.934752095,9.504253104708761,5718050.12125343,2091064.5016816654,4937800.904207477,9872449.512704434,233699732.82400423
8,2005-09-01,53.878078672009174,1.8418439121379987e-05,18.839683325086586,220.13474142471804,0.46720127770473396,46.23740059099719,24.87673413807841,9496.549620832091,16.583497337887636,24.525902140885353,41.25241620440801,61.78671718340682,13238506.624430493,4.525834603038453,4629160.934361274,4074765.646166478,6026306.288219528,10136212.483756518,233699732.82400423
9,2005-10-01,53.69771526314784,9.209219560689994e-06,10.547573063478632,220.13474142471804,0.46720127770473396,46.23740059099719,24.87673413807841,9496.549620832091,16.9582044502642,24.653005456635622,43.1450291115386,63.37200018979458,13194166.682245297,2.2629173015192263,2591678.1864384795,4166818.9725127677,6057530.516405252,10601255.65978415,233699732.82400423
