,Date,precip_and_snowmelt_input_Middle Bear_mean,irrigation_Middle Bear_mean,AET_Middle Bear_mean,soil_thickness_Middle Bear_mean,soil_porosity_Middle Bear_mean,field_capacity_Middle Bear_mean,wilting_point_Middle Bear_mean,Geo_K_Middle Bear_mean,Runoff_Middle Bear_mean,Recharge_Middle Bear_mean,Soil_Water_End_Of_Previous_Timestep_Middle Bear_mean,Soil_Saturation_Percent_End_Of_Timestep_Middle Bear_mean,precip_and_snowmelt_input_m3_Middle Bear_sum,irrigation_m3_Middle Bear_sum,AET_m3_Middle Bear_sum,Runoff_m3_Middle Bear_sum,Recharge_m3_Middle Bear_sum,Soil_Water_End_Of_Previous_Timestep_m3_Middle Bear_sum,Middle Bear_area_m2
0,2024-01-01,70.0215973564509,0.0,6.497098143742939,544.692645846144,0.5098131011217236,141.40726848437305,79.3203748288093,7083.060206938893,19.051185636092928,34.792979824579824,205.48283424294212,73.07816103390587,112162091.3180894,0.0,10406996.684533581,30516888.879383244,55732157.30094201,328900436.9081898,1599566345.204267
1,2024-01-01,70.0215973564509,0.0,6.497098143742939,544.692645846144,0.5098131011217236,141.40726848437305,79.3203748288093,7083.060206938893,19.051185636092928,34.792979824579824,205.48283424294212,73.07816103390587,112162091.3180894,0.0,10406996.684533581,30516888.879383244,55732157.30094201,328900436.9081898,1599566345.204267
2,2024-01-01,70.0215973564509,0.0,6.497098143742939,544.692645846144,0.5098131011217236,141.40726848437305,79.3203748288093,7083.060206938893,19.051185636092928,34.792979824579824,205.48283424294212,73.07816103390587,112162091.3180894,0.0,10406996.684533581,30516888.879383244,55732157.30094201,328900436.9081898,1599566345.204267
3,2024-01-01,70.0215973564509,0.0,6.497098143742939,544.692645846144,0.5098131011217236,141.40726848437305,79.3203748288093,7083.060206938893,19.051185636092928,34.792979824579824,205.48283424294212,73.07816103390587,112162091.3180894,0.0,10406996.684533581,30516888.879383244,55732157.30094201,328900436.9081898,1599566345.2041616
4,2024-01-01,70.0215973564509,0.0,6.497098143742939,544.692645846144,0.5098131011217236,141.40726848437305,79.3203748288093,7083.060206938893,19.051185636092928,34.792979824579824,205.48283424294212,73.07816103390587,112162091.3180894,0.0,10406996.684533581,30516888.879383244,55732157.30094201,328900436.9081898,1599566345.2041616
5,2024-01-01,70.0215973564509,0.0,6.497098143742939,544.692645846144,0.5098131011217236,141.40726848437305,79.3203748288093,7083.060206938893,19.051185636092928,34.792979824579824,205.48283424294212,73.07816103390587,112162091.3180894,0.0,10406996.684533581,30516888.879383244,55732157.30094201,328900436.9081898,1599566345.204267
6,2024-01-01,70.0215973564509,0.0,6.497098143742939,544.692645846144,0.5098131011217236,141.40726848437305,79.3203748288093,7083.060206938893,19.051185636092928,34.792979824579824,205.48283424294212,73.07816103390587,112162091.3180894,0.0,10406996.684533581,30516888.879383244,55732157.30094201,328900436.9081898,1599566345.204267
7,2024-01-01,70.0215973564509,0.0,6.497098143742939,544.692645846144,0.5098131011217236,141.40726848437305,79.3203748288093,7083.060206938893,19.051185636092928,34.792979824579824,205.48283424294212,73.07816103390587,112162091.3180894,0.0,10406996.684533581,30516888.879383244,55732157.30094201,328900436.9081898,1599566345.204267
8,2024-01-01,70.0215973564509,0.0,6.497098143742939,544.692645846144,0.5098131011217236,141.40726848437305,79.3203748288093,7083.060206938893,19.051185636092928,34.792979824579824,205.48283424294212,73.07816103390587,112162091.3180894,0.0,10406996.684533581,30516888.879383244,55732157.30094201,328900436.9081898,1599566345.204267
9,2024-01-01,70.0215973564509,0.0,6.497098143742939,544.692645846144,0.5098131011217236,141.40726848437305,79.3203748288093,7083.060206938893,19.051185636092928,34.792979824579824,205.48283424294212,73.07816103390587,112162091.3180894,0.0,10406996.684533581,30516888.879383244,55732157.30094201,328900436.9081898,1599566345.204267
