,Date,precip_and_snowmelt_input_Lower Colorado Lake Mead_mean,irrigation_Lower Colorado Lake Mead_mean,AET_Lower Colorado Lake Mead_mean,soil_thickness_Lower Colorado Lake Mead_mean,soil_porosity_Lower Colorado Lake Mead_mean,field_capacity_Lower Colorado Lake Mead_mean,wilting_point_Lower Colorado Lake Mead_mean,Geo_K_Lower Colorado Lake Mead_mean,Runoff_Lower Colorado Lake Mead_mean,Recharge_Lower Colorado Lake Mead_mean,Soil_Water_End_Of_Previous_Timestep_Lower Colorado Lake Mead_mean,Soil_Saturation_Percent_End_Of_Timestep_Lower Colorado Lake Mead_mean,precip_and_snowmelt_input_m3_Lower Colorado Lake Mead_sum,irrigation_m3_Lower Colorado Lake Mead_sum,AET_m3_Lower Colorado Lake Mead_sum,Runoff_m3_Lower Colorado Lake Mead_sum,Recharge_m3_Lower Colorado Lake Mead_sum,Soil_Water_End_Of_Previous_Timestep_m3_Lower Colorado Lake Mead_sum,Lower Colorado Lake Mead_area_m2
0,2005-01-01,113.57102820932714,0.0,14.380287522065396,317.368305972823,0.46656944226340186,66.9568983917543,28.46858602975195,10932.990154941259,30.976397055165727,57.452359923568004,94.14974676968671,71.40542778529039,1328114972.7117434,0.0,166967290.37534106,362297443.0198378,671820649.4885712,1093182293.9952831,11639905751.715582
1,2005-02-01,83.67022037291345,0.0,16.14053567147807,317.368305972823,0.46656944226340186,66.9568983917543,28.46858602975195,10932.990154941259,19.154218789758097,48.56940019597535,93.60347444941077,71.09256814426843,978442801.2484206,0.0,187404106.01522362,224017613.3258044,567960988.1297978,1086839307.559777,11639905751.715582
2,2005-03-01,57.436778628741486,0.0,25.55219055782768,317.368305972823,0.46656944226340186,66.9568983917543,28.46858602975195,10932.990154941259,6.416209694372355,30.844979857969896,88.11025696201949,66.11102664513636,671665030.7624186,0.0,296671127.0664863,75044944.35720634,360708427.2383634,1023064243.6988783,11639905751.715582
3,2005-04-01,61.23392190423496,1.1080713743587565,33.4410100320357,317.368305972823,0.46656944226340186,66.9568983917543,28.46858602975195,10932.990154941259,8.133688487281992,25.01006492672573,83.8021503765983,61.1659140041105,716054856.6200827,12957808.412190031,388263230.88464284,95128736.72501984,292483865.1425627,973037502.0363735,11639905751.715582
4,2005-05-01,19.370905001561514,2.880985467014622,42.98624862885826,317.368305972823,0.46656944226340186,66.9568983917543,28.46858602975195,10932.990154941259,1.1176453219588813,4.267766516737043,59.053931318268184,36.32019764881467,226514982.70273006,33690300.62836669,499111449.27650934,13069638.430254724,49911730.7190022,685686811.3504515,11639905751.715582
5,2005-06-01,27.79902481226859,4.432285497435026,62.10690183714836,317.368305972823,0.46656944226340186,66.9568983917543,28.46858602975195,10932.990154941259,2.195391891401914,1.270999332958581,40.36367608344055,21.104898885979964,325074321.35282713,51831233.648760125,721158481.2745875,25672917.87857368,14862770.665461939,468661962.5297207,11639905751.715582
6,2005-07-01,17.616513609467415,5.761970934029244,58.32512222230294,317.368305972823,0.46656944226340186,66.9568983917543,28.46858602975195,10932.990154941259,3.309526390982565,1.166065512024621,32.21236238180383,16.212933641074137,205985142.8514709,67380601.25673337,677267987.2652626,38701736.20444788,13634366.843596902,373998609.9418175,11639905751.715582
7,2005-08-01,46.81119388920094,4.653899563738867,41.90547657617738,317.368305972823,0.46656944226340186,66.9568983917543,28.46858602975195,10932.990154941259,3.2903919316683545,3.862017440966475,39.35990947604939,22.546449145628994,547412582.9002485,54422792.89202109,486598114.3695146,38476845.10313806,45160998.51824275,456992664.47778106,11639905751.715582
8,2005-09-01,6.8247769872197335,2.216142748717513,43.472529947188356,317.368305972823,0.46656944226340186,66.9568983917543,28.46858602975195,10932.990154941259,0.5848160411724502,0.8003561312749649,30.75381469605224,15.608566159777814,79805848.37332244,25915616.824380063,504797091.1432392,6839066.969316141,9358671.4179995,357061361.29947865,11639905751.715582
9,2005-10-01,47.330484292770166,1.1080713743587565,31.107751763415408,317.368305972823,0.46656944226340186,66.9568983917543,28.46858602975195,10932.990154941259,0.9993719828459064,5.458772357692361,43.69715643569401,27.329260277885442,553486034.547896,12957808.412190031,361218564.82174087,11683350.842829905,63828860.77621776,507359775.2351626,11639905751.715582
10,2005-11-01,8.334071520609688,0.0,27.145184840802262,317.368305972823,0.46656944226340186,66.9568983917543,28.46858602975195,10932.990154941259,0.046497551454083054,0.7352176600263338,34.815475825865946,19.408414123646025,97448269.9806289,0.0,315201510.78571004,543419.9305663422,8596929.561757734,404221951.4825333,11639905751.715582
11,2005-12-01,22.244084340469563,0.0,20.46252696881424,317.368305972823,0.46656944226340186,66.9568983917543,28.46858602975195,10932.990154941259,0.1876070981089471,1.9201030030560715,38.03004097610007,23.180966902552395,260137528.34510416,0.0,237591974.0403843,2193622.3091284772,22454780.393511176,441562793.58928365,11639905751.715582
12,2006-01-01,19.318825085073883,0.0,18.935434661010174,317.368305972823,0.46656944226340186,66.9568983917543,28.46858602975195,10932.990154941259,0.5208272794426888,2.5242498725033604,39.35217718698843,25.020861333321765,225924781.183511,0.0,219864160.92619598,6091563.891503006,29521731.11630162,456919943.0619672,11639905751.715582
13,2006-02-01,18.71251348151885,0.0,22.96840744157666,317.368305972823,0.46656944226340186,66.9568983917543,28.46858602975195,10932.990154941259,0.6743456249435725,2.292772498093145,38.3356665990453,23.817541008787472,218849146.03019804,0.0,266689824.6654195,7887702.465562957,26818004.900773115,445125172.8978335,11639905751.715582
14,2006-03-01,90.72327042307222,0.0,22.31153793068378,317.368305972823,0.46656944226340186,66.9568983917543,28.46858602975195,10932.990154941259,11.04769383984242,22.7937157419086,72.9307848822041,55.797016417691005,1060920761.2535667,0.0,259057985.3297333,129217556.5599547,266556754.52156836,846815436.3457067,11639905751.715582
15,2006-04-01,24.299537806125965,0.9636373492048341,31.166425733152206,317.368305972823,0.46656944226340186,66.9568983917543,28.46858602975195,10932.990154941259,0.471032356378479,7.050759472044026,60.37170430572848,41.19325297465645,284153511.2641958,11268858.252999227,361870012.864329,5508473.5600414295,82463037.27477002,700988310.8184587,11639905751.715582
16,2006-05-01,3.303780688414456,2.505456995772643,48.835172418803005,317.368305972823,0.46656944226340186,66.9568983917543,28.46858602975195,10932.990154941259,0.30685560463424005,0.7066985909319643,33.933502603284175,17.483802051341353,38631120.27582625,29299030.146197997,567049175.0305098,3588188.722913506,8264437.84883101,393997515.97087777,11639905751.715582
17,2006-06-01,6.3449060760067395,3.8545493968193365,55.28479067841552,317.368305972823,0.46656944226340186,66.9568983917543,28.46858602975195,10932.990154941259,1.590005583834196,0.6730439707705408,27.06207436368302,13.297714542785478,74195580.5963595,45075433.01199691,641952136.5286818,18594341.132508986,7870706.919790325,314208747.89814055,11639905751.715582
