,Date,precip_and_snowmelt_input_Pine Valley_mean,irrigation_Pine Valley_mean,AET_Pine Valley_mean,soil_thickness_Pine Valley_mean,soil_porosity_Pine Valley_mean,field_capacity_Pine Valley_mean,wilting_point_Pine Valley_mean,Geo_K_Pine Valley_mean,Runoff_Pine Valley_mean,Recharge_Pine Valley_mean,Soil_Water_End_Of_Previous_Timestep_Pine Valley_mean,Soil_Saturation_Percent_End_Of_Timestep_Pine Valley_mean,precip_and_snowmelt_input_m3_Pine Valley_sum,irrigation_m3_Pine Valley_sum,AET_m3_Pine Valley_sum,Runoff_m3_Pine Valley_sum,Recharge_m3_Pine Valley_sum,Soil_Water_End_Of_Previous_Timestep_m3_Pine Valley_sum,Pine Valley_area_m2
0,2024-01-01,20.96349131892631,0,5.152610977671027,526.5574662507786,0.4889963125378706,109.79739399427045,49.79571960441524,5628.164423931104,3.0027181156319913,2.7973027582761842,147.44180624952614,50.55187703585858,39738325.44572654,0,9767590.544611767,5692003.704350469,5302291.5170220435,279492382.20129114,1895488190.4641714
1,2024-01-01,20.96349131892631,0,5.152610977671027,526.5574662507786,0.4889963125378706,109.79739399427045,49.79571960441524,5628.164423931104,3.0027181156319913,2.7973027582761842,147.44180624952614,50.55187703585858,39738325.44572654,0,9767590.544611767,5692003.704350469,5302291.5170220435,279492382.20129114,1895488190.4641714
2,2024-01-01,20.96349131892631,0,5.152610977671027,526.5574662507786,0.4889963125378706,109.79739399427045,49.79571960441524,5628.164423931104,3.0027181156319913,2.7973027582761842,147.44180624952614,50.55187703585858,39738325.44572654,0,9767590.544611767,5692003.704350469,5302291.5170220435,279492382.20129114,1895488190.4641714
3,2024-01-01,20.96349131892631,0,5.152610977671027,526.5574662507786,0.4889963125378706,109.79739399427045,49.79571960441524,5628.164423931104,3.0027181156319913,2.7973027582761842,147.44180624952614,50.55187703585858,39738325.44572654,0,9767590.544611767,5692003.704350469,5302291.5170220435,279492382.20129114,1895488190.4641714
4,2024-01-01,20.96349131892631,0,5.152610977671027,526.5574662507786,0.4889963125378706,109.79739399427045,49.79571960441524,5628.164423931104,3.0027181156319913,2.7973027582761842,147.44180624952614,50.55187703585858,39738325.44572654,0,9767590.544611767,5692003.704350469,5302291.5170220435,279492382.20129114,1895488190.4641714
5,2024-01-01,20.96349131892631,0,5.152610977671027,526.5574662507786,0.4889963125378706,109.79739399427045,49.79571960441524,5628.164423931104,3.0027181156319913,2.7973027582761842,147.44180624952614,50.55187703585858,39738325.44572654,0,9767590.544611767,5692003.704350469,5302291.5170220435,279492382.20129114,1895488190.4643352
6,2024-01-01,20.96349131892631,0,5.152610977671027,526.5574662507786,0.4889963125378706,109.79739399427045,49.79571960441524,5628.164423931104,3.0027181156319913,2.7973027582761842,147.44180624952614,50.55187703585858,39738325.44572654,0,9767590.544611767,5692003.704350469,5302291.5170220435,279492382.20129114,1895488190.4643352
7,2024-01-01,20.96349131892631,0,5.152610977671027,526.5574662507786,0.4889963125378706,109.79739399427045,49.79571960441524,5628.164423931104,3.0027181156319913,2.7973027582761842,147.44180624952614,50.55187703585858,39738325.44572654,0,9767590.544611767,5692003.704350469,5302291.5170220435,279492382.20129114,1895488190.4641714
8,2024-01-01,20.96349131892631,0,5.152610977671027,526.5574662507786,0.4889963125378706,109.79739399427045,49.79571960441524,5628.164423931104,3.0027181156319913,2.7973027582761842,147.44180624952614,50.55187703585858,39738325.44572654,0,9767590.544611767,5692003.704350469,5302291.5170220435,279492382.20129114,1895488190.4643352
9,2024-01-01,20.96349131892631,0,5.152610977671027,526.5574662507786,0.4889963125378706,109.79739399427045,49.79571960441524,5628.164423931104,3.0027181156319913,2.7973027582761842,147.44180624952614,50.55187703585858,39738325.44572654,0,9767590.544611767,5692003.704350469,5302291.5170220435,279492382.20129114,1895488190.4643352
